LastName	FirstName	ID	Residence	DateofBirth
El Haddad	Louis	20172411	Amchit	15/7/1961
Abi Chahine	Peter	20161726	Tripoli	23/4/1971
Assaf	Serena	20164062	Zouk Mosbeh	21/7/1983
Chayban	Joseph	20178629	Anfeh	9/1/1998
Yaacoub	Yara	20154057	Adma	2/1/2000
Haroun	Yasmine	20152751	Zouk Mosbeh	6/12/1961
Hachem	Nour	20127040	Awkar	2/9/1950
Rizk	Rimane	20119694	Tripoli	3/8/1968
Abi Chahine	Joseph	20112254	Batroun	25/3/1946
Frem	Jean	20174383	Dorms	17/12/1985
El-Alam	Yasmina	20132084	Sahel Alma	31/5/1995
Anastasiou Bountoktzi	Louis	20181341	Chekka	17/4/1953
Sfeir	Mohamad	20156732	Amchit	31/7/1945
Ishak	Lamia	20188965	Zouk Mosbeh	13/8/1975
Rizk	Joe	20183058	Sahel Alma	3/3/1989
Faour	Nour	20167658	Batroun	7/11/1979
Alkhuder	Elisa	20189850	Amchit	17/9/1983
El Teress	Maria	20177286	Naccache	1/1/1957
Frem	Serena	20189412	Zouk Mikael	4/12/1977
Medawar	Jean	20182864	Batroun	24/7/1999
Chayban	Francesca	20132859	Zouk Mosbeh	2/3/1949
Al Hallak	Tony	20123750	Byblos	29/8/1965
Rizk	Francesca	20169378	Zouk Mosbeh	6/9/1975
Al Hallak	Sarah	20163013	Zouk Mosbeh	9/2/1947
Al Hallak	Louis	20129834	Byblos	14/6/1972
Charbel	Francesca	20146452	Blat	3/3/1965
Anastasiou Bountoktzi	John	20188188	Dorms	1/12/1954
Youssef	Francesca	20159660	Nahr Ibrahim	5/5/1947
Assaf	Ramza	20180996	Chekka	17/12/1946
Al Rassi	John	20146821	Batroun	29/4/1977
Frem	Marianne	20128442	Dbayeh	4/12/1974
Bou-Khalil	Youmna	20132202	Zouk Mikael	6/8/1966
Haroun	Nour	20173918	Naccache	28/8/1947
Youssef	Ahed	20124178	Tripoli	21/9/1990
Frem	Francesca	20147749	Batroun	7/3/1990
Al Soueity	Yara	20167302	Zouk Mosbeh	23/5/1967
Abi Akl	Ramza	20117402	Anfeh	22/8/1963
Al Hallak	John	20151901	Sahel Alma	19/3/1976
Assaf	Mohamad	20125865	Zouk Mikael	13/1/1946
Frem	Serena	20186525	Jounieh	14/11/1947
Al Hallak	Layla	20125307	Selaata	6/10/2000
Sfeir	Serena	20171421	Amchit	9/12/1956
Abou Younes	Jad	20181706	Chekka	18/7/1951
Zarifeh	Farah	20141669	Blat	20/10/1969
Kmeid	Louis	20162819	Adma	1/11/1959
Abi Akl	Dennis	20148917	Tripoli	13/7/1970
Issa	Gaelle	20142737	Jounieh	6/2/1948
Elam	Marianne	20168407	Dorms	8/12/1963
Ishak	Farah	20186067	Awkar	10/10/1975
Abi Akl	Romy	20168711	Byblos	28/7/1986
El Mouzawak	John	20131510	Blat	8/3/1997
Alkhuder	Nour	20165423	Dorms	22/6/1989
Anastasiou Bountoktzi	Farah	20113613	Sahel Alma	6/5/1952
Charbel	Marilyne	20162734	Jounieh	1/11/1976
Charbel	Joe	20120305	Jounieh	8/3/1962
Samarani	Louis	20158830	Nahr Ibrahim	11/10/1984
Abi Chahine	Joseph	20162966	Byblos	27/12/1972
Zarifeh	John	20185153	Amchit	24/4/1959
Daher	Ryan	20119481	Tripoli	25/1/1974
Slaiby	Yasmina	20146558	Selaata	15/7/1964
Rizk	Yara	20154824	Blat	1/12/1962
El Haddad	Louis	20113527	Blat	5/5/1979
Haroun	Yasmine	20165628	Selaata	21/9/1948
Ghamrawi	Maria	20179036	Anfeh	15/1/1964
El Mouzawak	Lea	20146129	Awkar	21/1/1974
Kmeid	Sarah	20166975	Zouk Mosbeh	9/6/1953
Hachem	Leah	20137443	Naccache	14/2/1985
Elam	Lea	20125560	Selaata	1/10/1973
Faour	Gaelle	20175104	Anfeh	31/10/1987
Samarani	Romy	20128732	Tripoli	19/11/1965
Yaacoub	Elisa	20159431	Blat	17/5/1946
Zeina	Marilyne	20138871	Batroun	28/4/1948
Al Hallak	Rimane	20153546	Adma	11/2/1993
Daher	Peter	20148406	Batroun	24/8/1949
Abi Chahine	Layla	20149226	Awkar	17/11/1980
Frem	Tonia	20178110	Tripoli	20/8/1963
Zarifeh	Serena	20183914	Zouk Mikael	7/11/1972
Al Hallak	Marianne	20149983	Byblos	10/10/1989
Yaacoub	Peter	20180048	Sahel Alma	26/8/1992
Yaacoub	Lea	20184812	Jounieh	16/7/1992
Faour	Jad	20171791	Chekka	14/2/1964
Charbel	Alexandro	20178660	Batroun	14/10/1987
El Teress	Gaelle	20146231	Tripoli	23/4/1970
Rizk	Alexandro	20117191	Zouk Mosbeh	6/5/1975
Charbel	Sarah	20182178	Anfeh	16/11/1975
Bou-Khalil	Tony	20122162	Dbayeh	4/2/1999
Frem	John	20139277	Dbayeh	2/9/1955
Slaiby	Dennis	20165980	Byblos	27/4/1956
Samarani	Ramza	20167980	Sahel Alma	26/2/1983
Samarani	Alexandro	20126603	Zouk Mosbeh	12/4/1992
Chayban	Farah	20148021	Blat	15/12/1990
Ghamrawi	Mohamad	20161293	Adma	24/6/1996
Charbel	Youmna	20128190	Amchit	27/5/1981
Al Rassi	Serena	20184962	Anfeh	4/3/1954
Bou-Khalil	Maria	20180738	Batroun	16/4/1970
Elam	Christopher	20137352	Amchit	25/3/1968
El Teress	Romy	20122568	Zouk Mosbeh	11/10/1983
Al Soueity	Jad	20163688	Byblos	2/8/1985
Ishak	Gaelle	20162371	Dbayeh	15/2/1949
Abi Chahine	Ryan	20160878	Awkar	30/10/1990
Zeina	Serena	20142654	Dbayeh	15/8/1945
Assaf	Ahed	20164284	Dbayeh	11/6/1963
Al Hallak	Yasmine	20176484	Byblos	15/7/1945
Elam	Dennis	20171484	Adma	8/7/1946
Hachem	Ramza	20129263	Dbayeh	31/7/1979
Al Soueity	Jean	20186340	Jounieh	10/8/1999
Issa	Yasmine	20139702	Amchit	20/8/1959
El Teress	Jean	20172604	Byblos	17/11/1999
Al Hallak	Sarah	20121761	Zouk Mikael	23/3/1962
Haroun	Yasmine	20159313	Selaata	17/9/1973
Charbel	Rouba	20169575	Chekka	14/12/1952
Haroun	John	20154008	Tripoli	17/9/1963
Samarani	Marianne	20111707	Naccache	27/2/1956
El Haddad	Leah	20167317	Tripoli	28/4/1959
Faour	Ramza	20154829	Naccache	1/2/1949
El Haddad	Rouba	20188495	Dorms	31/11/1992
Matta	Elisa	20131930	Zouk Mosbeh	17/12/1967
Al Rassi	Maria	20149291	Dbayeh	18/10/1981
Youssef	Yasmina	20173472	Nahr Ibrahim	22/4/1978
Sfeir	Sarah	20188680	Tripoli	8/7/1995
Slaiby	Romy	20132817	Zouk Mosbeh	3/6/1983
Bou-Khalil	Lea	20136089	Dorms	29/3/1954
Al Soueity	Ghady	20139127	Batroun	9/5/1998
Samarani	Nour	20117208	Batroun	8/4/1972
Daher	Tonia	20145430	Awkar	25/8/1949
Abou Younes	Louis	20181963	Blat	18/12/1986
Abou Younes	John	20149895	Selaata	12/1/1953
Charbel	Christopher	20180348	Naccache	15/2/1956
Abi Younes	Louis	20134318	Selaata	20/9/1997
Ghamrawi	Yasmina	20151887	Zouk Mosbeh	23/1/1965
Alkhuder	Yara	20156389	Byblos	22/9/1957
Doumiati	Mohamad	20177443	Amchit	15/11/1992
Yaacoub	Jad	20175486	Zouk Mikael	28/7/1982
Al Hallak	Yara	20127498	Batroun	22/8/1948
Assaf	Peter	20160635	Amchit	19/7/1995
El Teress	Rimane	20122745	Dbayeh	13/4/1960
El Teress	Yara	20125177	Dorms	8/12/1979
Al Hallak	Lea	20161078	Amchit	21/8/1998
Sfeir	Frederick	20154303	Anfeh	10/10/1991
El-Alam	Leah	20117876	Dorms	1/5/1974
Al Hallak	Francesca	20125292	Dorms	30/9/1953
Al Soueity	Dennis	20160300	Zouk Mikael	3/6/1969
Kmeid	Marilyne	20178457	Amchit	10/3/1953
Zarifeh	Tonia	20168888	Anfeh	12/7/1982
Rizk	Nour	20132588	Zouk Mikael	22/12/1985
Al Hallak	Layla	20133214	Jounieh	20/5/1973
Daher	Alexandro	20163364	Nahr Ibrahim	29/1/1962
El Haddad	Maria	20159921	Dorms	22/3/1994
Abi Akl	Ramza	20129228	Sahel Alma	21/2/1981
Kmeid	Ryan	20123509	Awkar	8/6/1982
Ghamrawi	Ahed	20186759	Jounieh	15/3/1967
Chayban	Lea	20176754	Batroun	6/1/1981
Sfeir	John	20185013	Awkar	11/1/1955
Hachem	Layla	20176256	Chekka	22/12/1976
Chayban	Yara	20180134	Sahel Alma	6/3/1947
Zarifeh	Lamia	20189323	Blat	23/1/1965
Chayban	Ghady	20152660	Sahel Alma	17/6/1986
Charbel	Francesca	20157552	Anfeh	29/2/1981
Matta	Serena	20129649	Dorms	28/12/1956
Ishak	Dennis	20123744	Batroun	31/10/1976
El-Alam	Marilyne	20120191	Adma	29/7/1978
Kmeid	Dennis	20164222	Awkar	19/3/1969
El Mouzawak	Yasmine	20138376	Awkar	16/8/1964
Daher	Joseph	20129980	Sahel Alma	4/9/1972
Samarani	Ghady	20153249	Anfeh	7/11/1980
El Haddad	Gaelle	20188202	Amchit	20/9/1977
Frem	Jean	20143709	Sahel Alma	10/6/1966
El Teress	Ghady	20131208	Dbayeh	17/6/1952
Abou Younes	Francesca	20123928	Nahr Ibrahim	27/12/1979
El-Alam	Jean	20116054	Naccache	12/11/1949
Al Soueity	Yasmine	20146515	Naccache	25/7/1946
Abi Younes	Maria	20112284	Tripoli	5/11/1996
El-Alam	Marilyne	20115153	Selaata	20/3/1979
Al Hallak	Frederick	20149209	Nahr Ibrahim	26/9/1956
Abi Chahine	Maria	20131968	Awkar	6/4/1996
Sfeir	Lamia	20143647	Zouk Mikael	15/2/1998
Frem	Alexandro	20152005	Adma	1/4/2000
Medawar	Rimane	20182761	Zouk Mosbeh	26/3/1982
Issa	Serena	20185067	Tripoli	17/6/1970
Daher	Maria	20120996	Awkar	9/6/1983
Doumiati	Rimane	20155290	Chekka	23/9/1975
Abou Younes	Nour	20186884	Adma	11/7/1951
